City ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
316,Malibu,US,73.99,clear sky,34.01,-118.81,Malibu Country Inn
318,Indaial,BR,60.01,overcast clouds,-26.9,-49.23,OYO Hotel Indaial
320,Puerto Narino,CO,71.69,broken clouds,-3.77,-70.38,Eware Refugio Amazonico
322,San Cristobal,VE,64.42,overcast clouds,7.77,-72.22,Pirineos
329,Dondo,MZ,73.4,mist,-19.61,34.74,Arco Iris
331,Airai,TL,74.14,overcast clouds,-8.93,125.41,Juvinal Martin
341,Khani,GE,60.8,scattered clouds,41.96,42.96,კურორტი ზეკარი/Resort Zekari
343,Richards Bay,ZA,67.46,moderate rain,-28.78,32.04,BON Hotel Waterfront Richards Bay
350,Waipawa,NZ,60.8,few clouds,-41.41,175.52,Tora Coastal Walk
352,Geraldton,AU,68.0,clear sky,-28.77,114.6,Broadwater Mariner Resort
356,Luvianos,MX,60.31,broken clouds,18.92,-100.4,
360,Bet Shemesh,IL,73.99,clear sky,31.75,34.99,Bethlehem Suites Dreams
363,Havelock,US,64.0,broken clouds,34.88,-76.9,Sherwood Motel
366,Salinas,US,71.01,clear sky,36.68,-121.66,Good Nite Inn Salinas Monterey
369,Gejiu,CN,70.41,broken clouds,23.31,103.16,Hongtai Commercial Hotel
370,Tomatlan,MX,71.98,clear sky,19.93,-105.25,Norma franco
375,Glubczyce,PL,61.0,moderate rain,50.2,17.83,Hotel Restaurant Domino
379,Los Llanos De Aridane,ES,71.6,overcast clouds,28.66,-17.92,Valle Aridane
381,Tambura,SS,73.24,overcast clouds,5.6,27.47,Guest hous Tambura
386,Watsa,CD,68.23,broken clouds,3.04,29.54,Hôtel Le Pacifique
387,Yulara,AU,66.2,overcast clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
395,Coari,BR,74.43,scattered clouds,-4.08,-63.14,HOTEL ALEX FLAT
401,Jardim,BR,73.58,clear sky,-21.48,-56.14,Hotel Estância
404,Paslek,PL,63.0,scattered clouds,54.06,19.66,Rooms
407,Shasta Lake,US,71.6,smoke,40.68,-122.37,Shasta Dam Motel
408,Arona,ES,73.99,broken clouds,28.1,-16.68,Paradise Court
409,Teguise,ES,69.8,broken clouds,29.06,-13.56,B&B La Casona de Nazaret
418,Canoa,DO,75.0,light rain,18.36,-71.16,Col julia
423,Orangeburg,US,60.01,clear sky,33.49,-80.86,Palmetto Inn & Suites
427,Saint George,US,72.0,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
432,Samur,RU,69.44,broken clouds,41.83,48.49,Samur
436,Seydi,TM,70.3,few clouds,39.48,62.91,Çagalar Dünýäsi
440,Vangaindrano,MG,70.3,light rain,-23.35,47.6,Hotel Fanilo
441,Vietri Sul Mare,IT,61.0,scattered clouds,40.67,14.73,Albergo del Centro Storico Salerno
442,Port Augusta,AU,66.0,light rain,-32.5,137.77,Majestic Oasis Apartments
444,Adjumani,UG,71.83,scattered clouds,3.38,31.79,Hotel Zawadi
445,Huangchuan,CN,62.56,light rain,32.13,115.04,Guangzhou International Hotel
448,Kintinku,TZ,68.0,few clouds,-5.88,35.23,
452,Chilca,PE,60.8,overcast clouds,-12.52,-76.74,Playa Punta Yaya - Las Salinas
453,Am Timan,TD,74.84,overcast clouds,11.03,20.28,
455,Ishikari,JP,64.4,moderate rain,43.24,141.35,ザ・吉岡
457,Aripuana,BR,73.99,scattered clouds,-9.17,-60.63,
459,Piacabucu,BR,72.97,overcast clouds,-10.41,-36.43,Piaçabuçu News
460,Wundanyi,KE,68.09,broken clouds,-3.4,38.36,Taita Rocks Hotel
467,Novomikhaylovskiy,RU,67.73,clear sky,44.26,38.86,Hotel Calypso
471,San Carlos,VE,72.36,overcast clouds,9.66,-68.58,Hotel Paternopoli
473,Mariental,,61.18,clear sky,-24.63,17.97,Mariental Hotel
476,Russell,US,60.8,clear sky,32.35,-85.2,Macs
478,Lucapa,AO,74.91,scattered clouds,-8.42,20.74,Residência Ulisses Dos Santos
483,Farafangana,MG,71.37,light rain,-22.82,47.83,Austral Hotel
485,Chapeltique,SV,73.81,overcast clouds,13.63,-88.27,HOTEL Y RESTAURANTE ASPEN
488,Pucallpa,PE,72.34,overcast clouds,-8.38,-74.55,Hotel Sol de Oriente - Pucallpa
491,Santa Isabel,BR,68.0,broken clouds,-23.32,-46.22,Chácara Sombra do Altíssimo
493,Arusha,TZ,64.4,few clouds,-3.37,36.68,Graceland Hotel
496,Sechura,PE,64.49,overcast clouds,-5.56,-80.82,Hospedaje Costa Bella
498,Unguia,CO,74.1,light rain,8.04,-77.09,Hotel Divino Niño
506,San Jose,US,72.0,smoke,37.34,-121.89,The Westin San Jose
509,Sao Jose Da Coroa Grande,BR,73.51,broken clouds,-8.9,-35.15,Crôa Mares Hotel
513,Baoding,CN,65.86,clear sky,38.85,115.49,Xiu Lan Hotel
519,Greci,RO,68.0,few clouds,45.18,28.23,Camping Turtle camp
520,Fairview,US,60.8,clear sky,40.81,-74.0,Homewood Suites by Hilton Edgewater-NYC Area
521,Changji,CN,64.4,broken clouds,44.02,87.32,Lvye Holiday Resort
530,Kaspiysk,RU,69.8,broken clouds,42.88,47.64,Alima Hostel
536,Miranda,CO,69.8,shower rain,3.25,-76.23,Parqueadero toño lasso
540,Korla,CN,65.82,clear sky,41.76,86.15,Gulisitan Hotel
542,Beinamar,TD,74.12,overcast clouds,8.67,15.38,
543,Portland,US,63.0,clear sky,45.52,-122.68,Portland Marriott City Center
544,Nantucket,US,62.55,clear sky,41.28,-70.1,Jared Coffin House
550,Carauari,BR,72.84,broken clouds,-4.88,-66.9,Pousada Lobo
563,Kampene,CD,73.8,clear sky,-3.6,26.67,
565,Sarkand,KZ,62.01,broken clouds,45.41,79.92,Гостиница Сарканд
569,Yaan,NG,73.22,light rain,7.38,8.57,
570,Ozuluama,MX,68.04,clear sky,21.67,-97.85,Pailon Quil
576,Envira,BR,70.05,light rain,-7.3,-70.22,
595,Affery,CI,69.21,scattered clouds,6.32,-3.96,Hotel Emile Koucou
603,Natal,BR,71.6,mist,-5.79,-35.21,Villa Park Hotel | Natal
605,Sarti,GR,72.18,few clouds,40.1,23.98,Vamvini Hotel
609,Snyder,US,64.4,clear sky,32.72,-100.92,Holiday Inn Express & Suites Snyder
611,Sumbe,AO,71.65,light rain,-11.21,13.84,Hotel Ritz Sumbe
614,Wairoa,NZ,68.0,clear sky,-39.03,177.37,Wairoa Motel
623,Opuwo,,73.4,broken clouds,-18.06,13.84,ABBA Guesthouse
624,Nakasongola,UG,71.62,broken clouds,1.31,32.46,Norena Hotel
626,Nurobod,UZ,69.8,clear sky,40.91,69.8,
635,Camacha,PT,68.0,scattered clouds,33.08,-16.33,Hotel Porto Santo & Spa
639,Monopoli,IT,68.0,scattered clouds,40.96,17.29,Il Melograno
641,Virginia Beach,US,62.6,scattered clouds,36.85,-75.98,Hilton Virginia Beach Oceanfront
642,Koumac,NC,74.25,clear sky,-20.57,164.28,Le Monitel
646,Galveston,US,75.0,clear sky,29.37,-94.97,Comfort Inn & Suites Texas City
649,Lixourion,GR,71.6,few clouds,38.2,20.43,Summery Hotel
657,Whyalla,AU,60.8,light rain,-33.03,137.58,Foreshore Motor Inn
658,Abashiri,JP,66.2,light rain,44.02,144.27,Tōyoko Inn Hokkaidō Okhotsk Abashiri Ekimae
669,Ngunguru,NZ,62.01,clear sky,-35.62,174.5,Pacific Rendezvous Motel Resort
670,Champerico,GT,66.99,overcast clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
683,Mizan Teferi,ET,66.65,light rain,6.98,35.58,Hotel Salayish | ሆቴል ሳላይሽ
684,Chitral,PK,70.29,clear sky,35.85,71.79,PTDC Motel Chitral
688,Itabira,BR,65.79,few clouds,-19.62,-43.23,Premium Executive Hotel
689,Marsabit,KE,68.94,scattered clouds,2.33,37.99,Chicho Hotel
690,Guilin,CN,73.4,overcast clouds,25.28,110.29,Grand 0773 Hotel
